[2026-01-29 16:39:35] APPLY_ATTEMPT
[2026-01-29 16:39:49] PLAN_GENERATED
[2026-01-29 16:40:18] APPLY_SUCCESS
[2026-01-29 16:41:16] PLAN_GENERATED
[2026-01-29 16:49:33] DESTROY_ATTEMPT
[2026-01-29 16:50:10] DESTROY_SUCCESS
[2026-02-02 14:10:22] amitk30 PLAN_GENERATED
[2026-02-02 14:10:27] amitk30 AI_ANALYSIS_RUN
[2026-02-02 14:10:36] amitk30 PLAN_GENERATED
[2026-02-02 14:12:46] amitk30 AI_ANALYSIS_RUN
[2026-02-02 14:12:55] amitk30 PLAN_GENERATED
[2026-02-02 14:13:16] amitk30 AI_ANALYSIS_RUN
[2026-02-02 14:13:25] amitk30 PLAN_GENERATED
[2026-02-02 14:15:09] amitk30 COST_ANALYSIS_RUN | Total change: $0
[2026-02-02 16:12:04] amitk30 DESTROY_ATTEMPT
[2026-02-02 16:12:58] amitk30 DESTROY_SUCCESS
[2026-02-05 18:19:36] amitk30 AI_ANALYSIS_RUN
[2026-02-05 18:25:16] amitk30 AI_ANALYSIS_RUN
